Antibiotic,Amoxicillin,Ampicillin,Aztreonam,Cefaclor,Cefadroxil,Cefamandole,Cefamet,Cefatrizine,Cefazolin,Cefdinir,Cefditoren,Cefepime,Cefiderocol,Cefixime,Cefodizime,Cefonicid,Cefoperazone,Ceforamide,Cefotaxime,Cefotetan,Cefotiam,Cefoxitin,Cefpirome,Cefpodoxime,Cefprozil,Cefradine,Ceftaroline,Ceftazidime,Ceftezole,Ceftibuten,Ceftizoxime,Ceftobiprole,Ceftolozane,Ceftriaxone,Cefuroxime,Cephalexin,Cephalothin,Cephapirin,Dicloxacillin,Ertapenem,Feneticillin,Flucloxacillin,Imipenem,Loracarbef,Meropenem,Nafcillin,Oxacillin,Penicillin G,Penicillin V,Piperacillin,Pivmecillinam
Amoxicillin,-1,1,0,1,1,2,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,1,1,1,0
Ampicillin,1,-1,0,1,1,2,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,3,1,3,0,0,1,1,1,0
Aztreonam,0,0,-1,0,0,0,1,0,0,2,1,2,1,2,1,0,0,0,2,0,1,0,1,1,0,0,2,1,0,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cefaclor,1,1,0,-1,1,1,0,1,2,2,0,2,0,2,0,1,1,1,2,2,0,2,0,0,1,1,2,2,0,0,0,1,2,2,2,1,2,0,0,0,0,0,0,1,0,0,0,2,2,2,0
Cefadroxil,1,1,0,1,-1,1,0,1,2,2,0,2,0,2,0,1,1,1,2,2,0,2,0,0,1,1,2,2,0,0,0,1,2,2,2,1,2,0,0,3,3,0,3,1,3,0,0,2,2,2,0
Cefamandole,2,2,0,1,1,-1,0,1,2,2,0,2,0,2,0,1,1,1,2,1,1,2,0,0,1,0,2,2,0,0,0,1,2,2,2,1,2,0,0,0,0,0,0,1,0,0,0,2,2,2,0
Cefamet,0,0,1,0,0,0,-1,0,0,3,1,1,1,1,1,0,0,0,1,3,1,0,1,1,0,0,1,1,3,1,1,3,1,1,1,0,0,3,0,3,3,0,3,0,3,3,3,0,0,0,0
Cefatrizine,1,1,0,1,1,1,0,-1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,3,0,0,0,1,0,0,0,3,3,0,3,1,3,0,0,1,1,1,0
Cefazolin,0,0,0,2,2,2,0,0,-1,2,0,2,0,2,0,0,0,0,2,2,0,2,0,0,2,0,2,2,1,0,0,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cefdinir,0,0,2,2,2,2,3,0,2,-1,1,1,1,1,1,0,0,3,1,2,3,2,1,1,2,3,1,1,0,1,3,1,1,1,2,2,2,0,0,3,3,3,3,3,3,0,0,0,0,0,3
Cefditoren,0,0,1,0,0,0,1,0,0,1,-1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,3,1,1,1,0,0,0,0,3,3,0,3,0,3,0,0,0,0,0,0
Cefepime,0,0,2,2,2,2,1,0,2,1,1,-1,1,1,1,0,0,0,1,2,1,2,1,1,2,0,1,1,0,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cefiderocol,0,0,1,0,0,0,1,0,0,1,1,1,-1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cefixime,0,0,2,2,2,2,1,0,2,1,1,1,1,-1,1,0,0,0,1,2,1,2,1,1,2,0,1,1,0,1,1,1,1,1,1,2,2,0,0,3,3,0,3,0,3,0,0,0,0,0,0
Cefodizime,0,0,1,0,0,0,1,0,0,1,1,1,1,1,-1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,3,1,1,1,0,0,0,0,3,3,0,3,0,3,0,0,0,0,0,0
Cefonicid,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,-1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,3,3,0,3,1,3,0,0,1,1,1,0
Cefoperazone,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,-1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,3,3,0,3,1,3,0,0,1,1,1,0
Ceforamide,1,1,0,1,1,1,0,1,0,3,0,0,0,0,0,1,1,-1,0,3,1,0,0,0,1,0,0,0,3,0,0,3,0,0,0,1,0,3,0,3,3,0,3,1,3,3,3,1,1,1,0
Cefotaxime,0,0,2,2,2,2,1,0,2,1,1,1,1,1,1,0,0,0,-1,2,1,1,1,1,2,0,1,1,0,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cefotetan,0,0,0,2,2,1,3,0,2,2,0,2,0,2,0,1,1,3,2,-1,3,2,0,0,2,3,2,2,0,0,3,1,2,2,2,2,2,0,0,3,3,3,3,3,3,0,0,0,0,0,3
Cefotiam,0,0,1,0,0,1,1,1,0,3,1,1,1,1,1,1,1,1,1,3,-1,0,1,1,0,0,1,1,3,1,1,3,1,1,0,0,0,3,0,3,3,0,3,0,3,3,3,0,0,0,0
Cefoxitin,0,0,0,2,2,2,0,0,2,2,0,2,0,2,0,0,0,0,1,2,0,-1,0,0,2,0,2,2,0,0,0,1,2,2,1,2,1,1,0,3,3,0,3,0,3,0,0,2,0,0,0
Cefpirome,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,-1,1,0,0,1,1,0,1,1,3,1,1,1,0,0,0,0,3,3,0,3,0,3,0,0,0,0,0,0
Cefpodoxime,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,-1,0,0,1,1,0,1,1,3,1,1,1,0,0,0,0,3,3,0,3,0,3,0,0,0,0,0,0
Cefprozil,1,1,0,1,1,1,0,1,2,2,0,2,0,2,0,1,1,1,2,2,0,2,0,0,-1,1,2,2,0,0,0,1,2,2,2,1,2,0,0,3,3,0,3,1,3,0,0,2,2,2,0
Cefradine,1,1,0,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,-1,0,0,3,0,0,3,0,0,0,1,0,3,0,3,3,0,3,1,3,3,3,0,0,0,0
Ceftaroline,0,0,2,2,2,2,1,0,2,1,1,1,1,1,1,0,0,0,1,2,1,2,1,1,2,0,-1,1,0,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceftazidime,0,0,1,2,2,2,1,0,2,1,1,1,1,1,1,0,0,0,1,2,1,2,1,1,2,0,1,-1,0,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceftezole,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,-1,1,3,3,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,3
Ceftibuten,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,-1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceftizoxime,0,0,1,0,0,0,1,0,0,3,1,1,1,1,1,0,0,0,1,3,1,0,1,1,0,0,1,1,3,1,-1,3,1,1,1,0,0,3,0,3,3,0,3,0,3,3,3,0,0,0,0
Ceftobiprole,0,0,0,1,1,1,3,3,1,1,3,1,3,1,3,3,3,3,1,1,3,1,3,3,1,3,1,1,3,3,3,-1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,0,0,0,3
Ceftolozane,0,0,2,2,2,2,1,0,2,1,1,1,1,1,1,0,0,0,1,2,1,2,1,1,2,0,1,1,0,1,1,1,-1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceftriaxone,0,0,2,2,2,2,1,0,2,1,1,1,1,1,1,0,0,0,1,2,1,2,1,1,2,0,1,1,0,1,1,1,1,-1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cefuroxime,0,0,2,2,2,2,1,0,2,2,1,1,2,1,1,0,0,0,1,2,0,1,1,1,2,0,1,2,0,0,1,1,2,1,-1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cephalexin,1,1,0,1,1,1,0,1,2,2,0,2,0,2,0,1,1,1,2,2,0,2,0,0,1,1,2,2,0,0,0,1,2,2,2,-1,2,0,0,0,0,0,0,1,0,0,0,2,2,2,0
Cephalothin,0,0,0,2,2,2,0,0,2,2,0,2,0,2,0,0,0,0,1,2,0,1,0,0,2,0,2,2,0,0,0,1,2,2,1,2,-1,1,0,0,0,0,0,0,0,0,0,2,0,0,0
Cephapirin,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,1,0,3,1,0,0,0,3,0,0,0,0,3,3,0,0,1,0,1,-1,0,3,3,3,3,3,3,0,0,0,0,0,3
Dicloxacillin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,-1,3,3,1,3,0,3,0,1,0,0,0,0
Ertapenem,0,3,0,0,3,0,3,3,0,3,3,0,0,3,3,3,3,3,0,3,3,3,3,3,3,3,0,0,3,0,3,3,0,0,0,0,0,3,3,-1,0,0,1,3,1,3,3,0,0,0,3
Feneticillin,1,3,0,0,3,0,3,3,0,3,3,0,0,3,3,3,3,3,0,3,3,3,3,3,3,3,0,0,3,0,3,3,0,0,0,0,0,3,3,0,-1,1,0,3,0,3,3,1,1,1,3
Flucloxacillin,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,1,0,1,-1,0,0,0,3,3,2,2,2,0
Imipenem,0,3,0,0,3,0,3,3,0,3,3,0,0,3,3,3,3,3,0,3,3,3,3,3,3,3,0,0,3,0,3,3,0,0,0,0,0,3,3,1,0,0,-1,3,1,3,3,0,0,0,3
Loracarbef,1,1,0,1,1,1,0,1,0,3,0,0,0,0,0,1,1,1,0,3,0,0,0,0,1,1,0,0,3,0,0,3,0,0,0,1,0,3,0,3,3,0,3,-1,3,3,3,1,1,1,0
Meropenem,0,3,0,0,3,0,3,3,0,3,3,0,0,3,3,3,3,3,0,3,3,3,3,3,3,3,0,0,3,0,3,3,0,0,0,0,0,3,3,1,0,0,1,3,-1,3,3,0,0,0,3
Nafcillin,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,3,3,3,3,-1,0,0,0,0,3
Oxacillin,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,1,3,3,3,3,3,3,0,-1,0,0,0,3
Penicillin G,1,1,0,2,2,2,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,2,0,1,0,0,0,-1,1,1,0
Penicillin V,1,1,0,2,2,2,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,1,0,0,0,1,-1,1,0
Piperacillin,1,1,0,2,2,2,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,1,0,0,0,1,1,-1,0
Pivmecillinam,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,3,3,0,3,0,3,3,3,0,0,0,-1
