Antibiotic,Class,SideChain,BLactamRing,CoreRing,SMILESFull,SMILESR1,SMILESR2,SMILESR3,SMILESRing,SMILES junk,Note
Amoxicillin,Penicillin,Acyl,TRUE,Thiazolidine Ring,[H][C@@]1(NC(=O)[C@H](N)C2=CC=C(O)C=C2)C(=O)N2[C@@H](C(O)=O)C(C)(C)S[C@]12[H],N[C@@H](C(N)=O)C1=CC=C(O)C=C1,NaN,NaN,CC(C)(S)CC(O)=O,,
Ampicillin,Penicillin,Acyl,TRUE,Thiazolidine Ring,[H][C@@]1(NC(=O)[C@H](N)C2=CC=CC=C2)C(=O)N2[C@@H](C(O)=O)C(C)(C)S[C@]12[H],N[C@@H](C(N)=O)C1=CC=CC=C1,NaN,NaN,CC(C)(S)CC(O)=O,,
Aztreonam,Monobactam,UniqueSideChain,TRUE,Monobactam Core,C[C@H]1[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C2=CSC(N)=N2)C(=O)N1S(O)(=O)=O,CC(C)(O\N=C(/C(N)=O)C1=CSC(N)=N1)C(O)=O,NaN,OS(=O)=O,NaN,,
Cefaclor,2nd Gen Cephalosporin,Acyl,TRUE,Dihydrothiazine Ring,[H][C@]12SCC(Cl)=C(N1C(=O)[C@@]2([H])NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,N[C@@H](C(N)=O)C1=CC=CC=C1,Cl,NaN,OC(=O)\C=C\CS,,
Cefadroxil,1st Gen Cephalosporin,Acyl,TRUE,Dihydrothiazine Ring,[H][C@]12SCC(C)=C(N1C(=O)[C@@]2([H])NC(=O)[C@H](N)C1=CC=C(O)C=C1)C(O)=O,N[C@@H](C(N)=O)C1=CC=C(O)C=C1,NaN,NaN,C\C(CS)=C/C(O)=O,,
Cefamandole,2nd Gen Cephalosporin,Acyl,TRUE,Dihydrothiazine Ring,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@@]2([H])NC(=O)[C@H](O)C1=CC=CC=C1)C(O)=O,NC(=O)[C@H](O)C1=CC=CC=C1,CSC1=NN=NN1C,NaN,OC(=O)\C=C\CS,,
Cefamet,2nd Gen Cephalosporin,Acyl,TRUE,Dihydrothiazine Ring,[H][C@@]1(NC(=O)C(=N/OC)\C2=CSC(N)=N2)C(=O)N2C(C(O)=O)=C(C)CS[C@]12[H],CO\N=C(/C(N)=O)C1=CSC(N)=N1,NaN,NaN,C\C(CS)=C/C(O)=O,,
Cefatrizine,1st Gen Cephalosporin,Acyl,TRUE,Dihydrothiazine Ring,[H][C@@]1(NC(=O)[C@H](N)C2=CC=C(O)C=C2)C(=O)N2C(C(O)=O)=C(CSC3=CNN=N3)CS[C@]12[H],N[C@@H](C(N)=O)C1=CC=C(O)C=C1,CSC1=CNN=N1,NaN,OC(=O)\C=C\CS,,
Cefazolin,1st Gen Cephalosporin,Acyl,TRUE,Dihydrothiazine Ring,[H][C@@]1(NC(=O)CN2C=NN=N2)C(=O)N2C(C(O)=O)=C(CSC3=NN=C(C)S3)CS[C@]12[H],NC(=O)CN1C=NN=N1,CSC1=NN=C(C)S1,NaN,OC(=O)\C=C\CS,,
Cefdinir,3rd Gen Cephalosporin,Acyl,TRUE,Dihydrothiazine Ring,[H][C@]12SCC(C=C)=C(N1C(=O)[C@@]2([H])NC(=O)C(=N/O)\C1=CSC(N)=N1)C(O)=O,NC(=O)C(=N/O)\C1=CSC(N)=N1,C=C,NaN,OC(=O)\C=C\CS,,
Cefditoren,3rd Gen Cephalosporin,Acyl,TRUE,Dihydrothiazine Ring,[H][C@@]1(NC(=O)C(=N/OC)\C2=CSC(N)=N2)C(=O)N2C(C(O)=O)=C(CS[C@]12[H])\C=C/C1=C(C)N=CS1,CO\N=C(/C(N)=O)C1=CSC(N)=N1,CC1=C(SC=N1)C=C,NaN,OC(=O)\C=C\CS,,
Cefepime,4th Gen Cephalosporin,Acyl,TRUE,Dihydrothiazine Ring,[H][C@@]1(NC(=O)C(=N/OC)\C2=CSC(N)=N2)C(=O)N2C(C([O-])=O)=C(C[N+]3(C)CCCC3)CS[C@]12[H],CO\N=C(/C(N)=O)C1=CSC(N)=N1,C[N+]1(C)CCCC1,NaN,[O-]C(=O)\C=C\CS,Double Check,
Cefiderocol,Siderophore Cephalosporin,Acyl,TRUE,Dihydrothiazine Ring,CC(C)(O\N=C(/C(=O)N[C@H]1[C@H]2SCC(C[N+]3(CCNC(=O)C4=CC=C(O)C(O)=C4Cl)CCCC3)=C(N2C1=O)C([O-])=O)C1=CSC(N)=N1)C(O)=O,CC(C)(O\N=C(/C(N)=O)C1=CSC(N)=N1)C(O)=O,C[N+]1(CCNC(=O)C2=CC=C(O)C(O)=C2Cl)CCCC1,NaN,[O-]C(=O)\C=C\CS,,
Cefixime,3rd Gen Cephalosporin,Acyl,TRUE,Dihydrothiazine Ring,[H][C@]12SCC(C=C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OCC(O)=O)\C1=CSC(N)=N1)C(O)=O,NC(=O)C(=N/OCC(O)=O)\C1=CSC(N)=N1,C=C,NaN,OC(=O)\C=C\CS,,
Cefodizime,3rd Gen Cephalosporin,Acyl,TRUE,Dihydrothiazine Ring,[H][C@@]1(NC(=O)C(=N/OC)\C2=CSC(N)=N2)C(=O)N2C(C(O)=O)=C(CSC3=NC(C)=C(CC(O)=O)S3)CS[C@]12[H],CO\N=C(/C(N)=O)C1=CSC(N)=N1,CSC1=NC(C)=C(CC(O)=O)S1,NaN,OC(=O)\C=C\CS,,
